Master: localhost:29501  |  Nodes: 1  |  GPUs: 0 (1)  |  Rank: 0
/home/rawline/forge-pretrain/train.py:162: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler() if "cuda" in device else None
[mem] rank=0 after model load: 444 MB  (≈ M_params)
[model] 110.9M parameters
[optim] Muon: 72 params, AdamW: 52 params
[data] 50 shard(s), 5,000,000,000 tokens total
[rank0]:W0428 22:08:29.664000 24912 site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
step=730 | loss=4.0852 | lr(muon)=1.93e-02 lr(adam)=2.89e-04 | tok/s=18601 (rank tok/s=18601) | 3523ms/step [fwd=63 bwd=148 opt=145 ms] | elapsed 42.4m | time left 157.6m
step=740 | loss=4.1083 | lr(muon)=1.93e-02 lr(adam)=2.89e-04 | tok/s=18643 (rank tok/s=18643) | 3515ms/step [fwd=62 bwd=147 opt=145 ms] | elapsed 43.0m | time left 157.0m
step=750 | loss=4.1229 | lr(muon)=1.92e-02 lr(adam)=2.88e-04 | tok/s=18322 (rank tok/s=18322) | 3577ms/step [fwd=64 bwd=150 opt=146 ms] | elapsed 43.6m | time left 156.4m
step=760 | loss=4.1371 | lr(muon)=1.92e-02 lr(adam)=2.88e-04 | tok/s=18335 (rank tok/s=18335) | 3574ms/step [fwd=64 bwd=148 opt=147 ms] | elapsed 44.2m | time left 155.8m
step=770 | loss=3.9408 | lr(muon)=1.92e-02 lr(adam)=2.88e-04 | tok/s=18732 (rank tok/s=18732) | 3499ms/step [fwd=63 bwd=147 opt=144 ms] | elapsed 44.7m | time left 155.3m
step=780 | loss=4.0946 | lr(muon)=1.92e-02 lr(adam)=2.87e-04 | tok/s=18697 (rank tok/s=18697) | 3505ms/step [fwd=63 bwd=147 opt=144 ms] | elapsed 45.3m | time left 154.7m
step=790 | loss=3.9971 | lr(muon)=1.91e-02 lr(adam)=2.87e-04 | tok/s=18672 (rank tok/s=18672) | 3510ms/step [fwd=63 bwd=148 opt=144 ms] | elapsed 45.9m | time left 154.1m
step=800 | loss=4.0746 | lr(muon)=1.91e-02 lr(adam)=2.87e-04 | tok/s=18377 (rank tok/s=18377) | 3566ms/step [fwd=63 bwd=151 opt=146 ms] | elapsed 46.5m | time left 153.5m
step=810 | loss=4.0077 | lr(muon)=1.91e-02 lr(adam)=2.86e-04 | tok/s=18445 (rank tok/s=18445) | 3553ms/step [fwd=63 bwd=149 opt=146 ms] | elapsed 47.1m | time left 152.9m
step=820 | loss=4.0759 | lr(muon)=1.91e-02 lr(adam)=2.86e-04 | tok/s=18314 (rank tok/s=18314) | 3578ms/step [fwd=63 bwd=151 opt=147 ms] | elapsed 47.7m | time left 152.3m
step=830 | loss=3.9786 | lr(muon)=1.90e-02 lr(adam)=2.85e-04 | tok/s=18343 (rank tok/s=18343) | 3573ms/step [fwd=64 bwd=150 opt=146 ms] | elapsed 48.3m | time left 151.7m
step=840 | loss=3.9834 | lr(muon)=1.90e-02 lr(adam)=2.85e-04 | tok/s=18364 (rank tok/s=18364) | 3569ms/step [fwd=63 bwd=150 opt=146 ms] | elapsed 48.9m | time left 151.1m
step=850 | loss=3.9704 | lr(muon)=1.90e-02 lr(adam)=2.85e-04 | tok/s=18363 (rank tok/s=18363) | 3569ms/step [fwd=64 bwd=150 opt=146 ms] | elapsed 49.5m | time left 150.5m
step=860 | loss=3.9673 | lr(muon)=1.90e-02 lr(adam)=2.84e-04 | tok/s=18340 (rank tok/s=18340) | 3573ms/step [fwd=64 bwd=151 opt=146 ms] | elapsed 50.1m | time left 149.9m
step=870 | loss=3.8807 | lr(muon)=1.89e-02 lr(adam)=2.84e-04 | tok/s=18338 (rank tok/s=18338) | 3574ms/step [fwd=65 bwd=150 opt=146 ms] | elapsed 50.7m | time left 149.3m
step=880 | loss=4.0155 | lr(muon)=1.89e-02 lr(adam)=2.83e-04 | tok/s=18341 (rank tok/s=18341) | 3573ms/step [fwd=64 bwd=150 opt=147 ms] | elapsed 51.3m | time left 148.7m
step=890 | loss=3.9115 | lr(muon)=1.89e-02 lr(adam)=2.83e-04 | tok/s=18365 (rank tok/s=18365) | 3569ms/step [fwd=64 bwd=150 opt=146 ms] | elapsed 51.9m | time left 148.1m
step=900 | loss=4.0187 | lr(muon)=1.88e-02 lr(adam)=2.83e-04 | tok/s=18374 (rank tok/s=18374) | 3567ms/step [fwd=63 bwd=150 opt=146 ms] | elapsed 52.5m | time left 147.5m
step=910 | loss=3.9997 | lr(muon)=1.88e-02 lr(adam)=2.82e-04 | tok/s=18364 (rank tok/s=18364) | 3569ms/step [fwd=63 bwd=150 opt=146 ms] | elapsed 53.1m | time left 146.9m
step=920 | loss=3.8918 | lr(muon)=1.88e-02 lr(adam)=2.82e-04 | tok/s=18344 (rank tok/s=18344) | 3573ms/step [fwd=64 bwd=150 opt=145 ms] | elapsed 53.7m | time left 146.3m
step=930 | loss=3.9643 | lr(muon)=1.88e-02 lr(adam)=2.81e-04 | tok/s=18350 (rank tok/s=18350) | 3571ms/step [fwd=64 bwd=151 opt=147 ms] | elapsed 54.3m | time left 145.7m
step=940 | loss=4.0264 | lr(muon)=1.87e-02 lr(adam)=2.81e-04 | tok/s=18364 (rank tok/s=18364) | 3569ms/step [fwd=64 bwd=149 opt=146 ms] | elapsed 54.8m | time left 145.2m
step=950 | loss=3.9342 | lr(muon)=1.87e-02 lr(adam)=2.80e-04 | tok/s=18445 (rank tok/s=18445) | 3553ms/step [fwd=63 bwd=149 opt=146 ms] | elapsed 55.4m | time left 144.6m
step=960 | loss=3.9821 | lr(muon)=1.87e-02 lr(adam)=2.80e-04 | tok/s=18593 (rank tok/s=18593) | 3525ms/step [fwd=62 bwd=150 opt=146 ms] | elapsed 56.0m | time left 144.0m
step=970 | loss=3.9085 | lr(muon)=1.86e-02 lr(adam)=2.80e-04 | tok/s=18627 (rank tok/s=18627) | 3518ms/step [fwd=63 bwd=147 opt=144 ms] | elapsed 56.6m | time left 143.4m
step=980 | loss=4.0338 | lr(muon)=1.86e-02 lr(adam)=2.79e-04 | tok/s=18566 (rank tok/s=18566) | 3530ms/step [fwd=62 bwd=148 opt=146 ms] | elapsed 57.2m | time left 142.8m
step=990 | loss=3.8619 | lr(muon)=1.86e-02 lr(adam)=2.79e-04 | tok/s=18567 (rank tok/s=18567) | 3530ms/step [fwd=63 bwd=148 opt=144 ms] | elapsed 57.8m | time left 142.2m
