Master: localhost:29500  |  Nodes: 1  |  GPUs: 0,1 (2)  |  Rank: 0

*****************************************
Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
*****************************************
[model] 110.9M parameters
[data] 49 shard(s), 49,000,000,000 tokens total
[data] 49 shard(s), 49,000,000,000 tokens total
step=1310 | loss=4.9923 | lr=5.23e-04 | tok/s=455428 | 144ms/step | elapsed 3.3m | time left 6.7m
step=1320 | loss=4.8769 | lr=5.22e-04 | tok/s=523573 | 125ms/step | elapsed 3.4m | time left 6.6m
step=1330 | loss=4.6935 | lr=5.20e-04 | tok/s=489683 | 134ms/step | elapsed 3.4m | time left 6.6m
step=1340 | loss=4.9958 | lr=5.19e-04 | tok/s=440158 | 149ms/step | elapsed 3.4m | time left 6.6m
step=1350 | loss=4.6860 | lr=5.18e-04 | tok/s=434361 | 151ms/step | elapsed 3.4m | time left 6.6m
step=1360 | loss=5.0284 | lr=5.17e-04 | tok/s=519262 | 126ms/step | elapsed 3.4m | time left 6.6m
step=1370 | loss=5.0514 | lr=5.15e-04 | tok/s=466720 | 140ms/step | elapsed 3.5m | time left 6.5m
step=1380 | loss=4.9043 | lr=5.14e-04 | tok/s=638743 | 103ms/step | elapsed 3.5m | time left 6.5m
step=1390 | loss=4.8391 | lr=5.13e-04 | tok/s=506691 | 129ms/step | elapsed 3.5m | time left 6.5m
step=1400 | loss=4.9617 | lr=5.12e-04 | tok/s=473027 | 139ms/step | elapsed 3.5m | time left 6.5m
step=1410 | loss=4.8293 | lr=5.10e-04 | tok/s=547347 | 120ms/step | elapsed 3.6m | time left 6.4m
step=1420 | loss=4.8438 | lr=5.09e-04 | tok/s=496648 | 132ms/step | elapsed 3.6m | time left 6.4m
step=1430 | loss=4.7489 | lr=5.08e-04 | tok/s=426446 | 154ms/step | elapsed 3.6m | time left 6.4m
step=1440 | loss=4.7863 | lr=5.06e-04 | tok/s=464126 | 141ms/step | elapsed 3.6m | time left 6.4m
step=1450 | loss=4.7975 | lr=5.05e-04 | tok/s=454020 | 144ms/step | elapsed 3.6m | time left 6.4m
step=1460 | loss=4.9283 | lr=5.04e-04 | tok/s=492114 | 133ms/step | elapsed 3.7m | time left 6.3m
step=1470 | loss=4.8685 | lr=5.02e-04 | tok/s=421372 | 156ms/step | elapsed 3.7m | time left 6.3m
step=1480 | loss=4.7397 | lr=5.01e-04 | tok/s=489969 | 134ms/step | elapsed 3.7m | time left 6.3m
step=1490 | loss=4.8880 | lr=5.00e-04 | tok/s=529767 | 124ms/step | elapsed 3.7m | time left 6.3m
step=1500 | loss=4.7588 | lr=4.98e-04 | tok/s=586942 | 112ms/step | elapsed 3.7m | time left 6.3m
step=1510 | loss=4.8510 | lr=4.97e-04 | tok/s=459406 | 143ms/step | elapsed 3.8m | time left 6.2m
step=1520 | loss=4.8474 | lr=4.96e-04 | tok/s=541003 | 121ms/step | elapsed 3.8m | time left 6.2m
